Category,City,Country,Customer ID,Customer Name,Discount,Market,记录数,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Year,Market2,weeknum
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,0.0,US,1,2012-08-31 00:00:00.000,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,32057,58,Consumer,2012-09-05 00:00:00.000,Standard Class,7.98,California,Paper,2012,North America,35
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,US,1,2012-11-22 00:00:00.000,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,36102,38,Consumer,2012-11-25 00:00:00.000,Second Class,3.9,California,Paper,2012,North America,47
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,0.0,US,1,2012-11-22 00:00:00.000,CA-2012-137708,High,OFF-PA-10000327,Xerox 1971,19.26,10,West,36103,43,Consumer,2012-11-25 00:00:00.000,Second Class,6.15,California,Paper,2012,North America,47
Office Supplies,Los Angeles,United States,DP-130004,Darren Powers,0.0,US,1,2012-11-24 00:00:00.000,CA-2012-105347,Medium,OFF-PA-10000675,Xerox 1919,180.7659,9,West,33074,369,Consumer,2012-11-28 00:00:00.000,Standard Class,6.98,California,Paper,2012,North America,47
Office Supplies,Los Angeles,United States,TS-213404,Toby Swindell,0.0,US,1,2012-11-24 00:00:00.000,CA-2012-153416,Medium,OFF-PA-10002005,Xerox 225,9.3312,3,West,35414,19,Consumer,2012-11-29 00:00:00.000,Standard Class,1.68,California,Paper,2012,North America,47
Office Supplies,Los Angeles,United States,KM-167204,Kunst Miller,0.0,US,1,2012-11-24 00:00:00.000,CA-2012-135545,Medium,OFF-PA-10003892,Xerox 1943,68.9631,3,West,31361,147,Consumer,2012-11-30 00:00:00.000,Standard Class,4.93,California,Paper,2012,North America,47
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,1,2012-12-20 00:00:00.000,CA-2012-158918,Medium,OFF-PA-10004947,Staples,7.704,4,West,39966,17,Consumer,2012-12-25 00:00:00.000,Second Class,1.31,California,Paper,2012,North America,51
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,US,1,2012-12-30 00:00:00.000,CA-2012-135580,Medium,OFF-PA-10000595,Xerox 1929,31.5192,3,West,37305,69,Consumer,2013-01-03 00:00:00.000,Standard Class,6.36,California,Paper,2012,North America,53
Office Supplies,Los Angeles,United States,SW-202454,Scot Wooten,0.0,US,1,2013-03-13 00:00:00.000,US-2013-119270,Medium,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),8.991,2,West,39776,20,Consumer,2013-03-17 00:00:00.000,Standard Class,1.3,California,Paper,2013,North America,11
Office Supplies,Los Angeles,United States,CC-122204,Chris Cortes,0.0,US,1,2013-03-29 00:00:00.000,CA-2013-131380,Critical,OFF-PA-10001243,Xerox 1983,2.9302,1,West,38455,6,Consumer,2013-04-01 00:00:00.000,Second Class,1.82,California,Paper,2013,North America,13
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,US,1,2013-04-09 00:00:00.000,CA-2013-130477,High,OFF-PA-10002947,Xerox 1923,9.6192,3,West,32200,20,Consumer,2013-04-13 00:00:00.000,Standard Class,2.92,California,Paper,2013,North America,15
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,0.0,US,1,2013-04-09 00:00:00.000,CA-2013-130477,High,OFF-PA-10000019,Xerox 1931,6.2208,2,West,32202,13,Consumer,2013-04-13 00:00:00.000,Standard Class,2.28,California,Paper,2013,North America,15
Office Supplies,Los Angeles,United States,JF-152954,Jason Fortune-,0.0,US,1,2013-04-13 00:00:00.000,CA-2013-163594,Medium,OFF-PA-10000809,Xerox 206,9.3312,3,West,38657,19,Consumer,2013-04-15 00:00:00.000,First Class,1.77,California,Paper,2013,North America,15
Office Supplies,Los Angeles,United States,JO-152804,Jas O'Carroll,0.0,US,1,2013-04-20 00:00:00.000,US-2013-115819,Medium,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10.224,4,West,32905,23,Consumer,2013-04-25 00:00:00.000,Second Class,3.87,California,Paper,2013,North America,16
Office Supplies,Los Angeles,United States,TB-216254,Trudy Brown,0.0,US,1,2013-05-09 00:00:00.000,CA-2013-111696,High,OFF-PA-10002751,Xerox 1920,8.073,3,West,36111,18,Consumer,2013-05-11 00:00:00.000,First Class,3.42,California,Paper,2013,North America,19
Office Supplies,Los Angeles,United States,TT-210704,Ted Trevino,0.0,US,1,2013-05-12 00:00:00.000,CA-2013-162733,Medium,OFF-PA-10002751,Xerox 1920,2.691,1,West,31457,6,Consumer,2013-05-13 00:00:00.000,First Class,0.41,California,Paper,2013,North America,20
Office Supplies,Los Angeles,United States,DO-134354,Denny Ordway,0.0,US,1,2013-05-17 00:00:00.000,CA-2013-133144,Medium,OFF-PA-10004971,Xerox 196,8.4966,3,West,35241,17,Consumer,2013-05-22 00:00:00.000,Second Class,1.82,California,Paper,2013,North America,20
Office Supplies,Los Angeles,United States,LS-172454,Lynn Smith,0.0,US,1,2013-05-28 00:00:00.000,CA-2013-136994,Medium,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",6.1548,2,West,39165,13,Consumer,2013-06-03 00:00:00.000,Standard Class,0.88,California,Paper,2013,North America,22
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,0.0,US,1,2013-05-29 00:00:00.000,CA-2013-134803,Low,OFF-PA-10003790,Xerox 1991,84.0512,8,West,34718,183,Consumer,2013-06-04 00:00:00.000,Standard Class,17.93,California,Paper,2013,North America,22
Office Supplies,Los Angeles,United States,OT-187304,Olvera Toch,0.0,US,1,2013-06-11 00:00:00.000,CA-2013-113243,Medium,OFF-PA-10003441,Xerox 226,15.552,5,West,31855,32,Consumer,2013-06-16 00:00:00.000,Standard Class,1.91,California,Paper,2013,North America,24
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,US,1,2013-06-17 00:00:00.000,CA-2013-148593,Medium,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",21.7845,5,West,35475,46,Consumer,2013-06-19 00:00:00.000,Second Class,1.14,California,Paper,2013,North America,25
Office Supplies,Los Angeles,United States,MV-181904,Mike Vittorini,0.0,US,1,2013-06-18 00:00:00.000,CA-2013-123512,Critical,OFF-PA-10001497,Xerox 1914,107.7216,4,West,37914,220,Consumer,2013-06-20 00:00:00.000,First Class,74.66,California,Paper,2013,North America,25
Office Supplies,Los Angeles,United States,GT-147554,Guy Thornton,0.0,US,1,2013-07-04 00:00:00.000,CA-2013-130029,High,OFF-PA-10000552,Xerox 200,6.2208,2,West,34861,13,Consumer,2013-07-07 00:00:00.000,First Class,1.62,California,Paper,2013,North America,27
Office Supplies,Los Angeles,United States,CC-123704,Christopher Conant,0.0,US,1,2013-07-08 00:00:00.000,CA-2013-135265,Critical,OFF-PA-10002923,Xerox 1942,24.47,1,West,35281,49,Consumer,2013-07-10 00:00:00.000,Second Class,10.36,California,Paper,2013,North America,28
Office Supplies,Los Angeles,United States,JM-155804,Jill Matthias,0.0,US,1,2013-08-15 00:00:00.000,CA-2013-136021,High,OFF-PA-10000551,Array Memo Cubes,7.6146,3,West,36676,16,Consumer,2013-08-19 00:00:00.000,Standard Class,2.15,California,Paper,2013,North America,33
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,0.0,US,1,2013-08-16 00:00:00.000,CA-2013-167241,Low,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,West,40194,38,Consumer,2013-08-23 00:00:00.000,Standard Class,4.05,California,Paper,2013,North America,33
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,1,2013-09-30 00:00:00.000,US-2013-101497,High,OFF-PA-10000176,Xerox 1887,9.1056,1,West,32979,19,Consumer,2013-10-02 00:00:00.000,Second Class,1.89,California,Paper,2013,North America,40
Office Supplies,Los Angeles,United States,CC-124754,Cindy Chapman,0.0,US,1,2013-10-08 00:00:00.000,CA-2013-155033,High,OFF-PA-10000143,Astroparche Fine Business Paper,5.0688,2,West,36300,11,Consumer,2013-10-13 00:00:00.000,Standard Class,1.61,California,Paper,2013,North America,41
Office Supplies,Los Angeles,United States,JE-157454,Joel Eaton,0.0,US,1,2013-10-09 00:00:00.000,US-2013-162026,Critical,OFF-PA-10000167,Xerox 1925,27.882,2,West,36803,62,Consumer,2013-10-09 00:00:00.000,Same Day,3.0,California,Paper,2013,North America,41
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,1,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10004359,Multicolor Computer Printout Paper,150.984,3,West,35783,315,Consumer,2013-11-09 00:00:00.000,Standard Class,22.15,California,Paper,2013,North America,45
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,1,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10001725,Xerox 1892,56.9772,3,West,35780,116,Consumer,2013-11-09 00:00:00.000,Standard Class,5.57,California,Paper,2013,North America,45
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,1,2013-11-04 00:00:00.000,CA-2013-109365,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,35782,19,Consumer,2013-11-09 00:00:00.000,Standard Class,1.3,California,Paper,2013,North America,45
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,1,2013-11-11 00:00:00.000,CA-2013-158694,High,OFF-PA-10002421,Embossed Ink Jet Note Cards,32.5008,3,West,36338,68,Consumer,2013-11-14 00:00:00.000,Second Class,10.83,California,Paper,2013,North America,46
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,0.0,US,1,2013-11-11 00:00:00.000,CA-2013-158694,High,OFF-PA-10001363,Xerox 1933,28.858,5,West,36341,61,Consumer,2013-11-14 00:00:00.000,Second Class,8.68,California,Paper,2013,North America,46
Office Supplies,Los Angeles,United States,SO-203354,Sean O'Donnell,0.0,US,1,2014-01-15 00:00:00.000,CA-2014-149076,Medium,OFF-PA-10000483,Xerox 19,69.705,5,West,38276,155,Consumer,2014-01-20 00:00:00.000,Standard Class,9.12,California,Paper,2014,North America,3
Office Supplies,Los Angeles,United States,CK-125954,Clytie Kelty,0.0,US,1,2014-02-24 00:00:00.000,CA-2014-104647,Medium,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",16.848,6,West,33379,37,Consumer,2014-03-02 00:00:00.000,Standard Class,3.82,California,Paper,2014,North America,9
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,0.0,US,1,2014-04-18 00:00:00.000,CA-2014-128965,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",13.5072,3,West,38154,28,Consumer,2014-04-23 00:00:00.000,Standard Class,2.84,California,Paper,2014,North America,16
Office Supplies,Los Angeles,United States,LL-168404,Lauren Leatherbury,0.0,US,1,2014-04-26 00:00:00.000,CA-2014-120222,Medium,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,West,38184,19,Consumer,2014-05-03 00:00:00.000,Standard Class,1.52,California,Paper,2014,North America,17
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,US,1,2014-05-03 00:00:00.000,CA-2014-147844,Medium,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,38689,16,Consumer,2014-05-07 00:00:00.000,Standard Class,0.93,California,Paper,2014,North America,18
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,0.0,US,1,2014-05-03 00:00:00.000,CA-2014-147844,Medium,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",15.824,5,West,38691,34,Consumer,2014-05-07 00:00:00.000,Standard Class,2.54,California,Paper,2014,North America,18
Office Supplies,Los Angeles,United States,DV-134654,Dianna Vittorini,0.0,US,1,2014-06-12 00:00:00.000,US-2014-152002,Medium,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60.2553,3,West,32865,123,Consumer,2014-06-12 00:00:00.000,Same Day,23.65,California,Paper,2014,North America,24
Office Supplies,Los Angeles,United States,CC-126704,Craig Carreira,0.0,US,1,2014-06-19 00:00:00.000,CA-2014-112753,High,OFF-PA-10002036,Xerox 1930,19.0512,6,West,35793,39,Consumer,2014-06-24 00:00:00.000,Standard Class,4.89,California,Paper,2014,North America,25
Office Supplies,Los Angeles,United States,TT-212204,Thomas Thornton,0.0,US,1,2014-07-01 00:00:00.000,US-2014-113201,Medium,OFF-PA-10000675,Xerox 1919,100.4255,5,West,39414,205,Consumer,2014-07-06 00:00:00.000,Standard Class,14.98,California,Paper,2014,North America,27
Office Supplies,Los Angeles,United States,TB-215204,Tracy Blumstein,0.0,US,1,2014-07-24 00:00:00.000,CA-2014-133718,Critical,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),27.9936,9,West,40527,58,Consumer,2014-07-27 00:00:00.000,First Class,7.82,California,Paper,2014,North America,30
Office Supplies,Los Angeles,United States,KT-164804,Kean Thornton,0.0,US,1,2014-08-21 00:00:00.000,CA-2014-105326,Medium,OFF-PA-10001639,Xerox 203,12.4416,4,West,39039,26,Consumer,2014-08-28 00:00:00.000,Standard Class,1.27,California,Paper,2014,North America,34
Office Supplies,Los Angeles,United States,LC-170504,Liz Carlisle,0.0,US,1,2014-09-10 00:00:00.000,CA-2014-137498,Medium,OFF-PA-10000143,Astroparche Fine Business Paper,22.8096,9,West,36877,48,Consumer,2014-09-15 00:00:00.000,Second Class,5.29,California,Paper,2014,North America,37
Office Supplies,Los Angeles,United States,JM-158654,John Murray,0.0,US,1,2014-09-13 00:00:00.000,US-2014-109582,Medium,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",79.8912,3,West,36521,166,Consumer,2014-09-18 00:00:00.000,Second Class,11.1,California,Paper,2014,North America,37
Office Supplies,Los Angeles,United States,DB-136604,Duane Benoit,0.0,US,1,2014-09-24 00:00:00.000,CA-2014-121853,Medium,OFF-PA-10003641,Xerox 1909,97.0784,8,West,40620,211,Consumer,2014-09-30 00:00:00.000,Standard Class,15.64,California,Paper,2014,North America,39
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,0.0,US,1,2014-10-10 00:00:00.000,US-2014-115595,Medium,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",16.544,5,West,36555,35,Consumer,2014-10-12 00:00:00.000,First Class,7.79,California,Paper,2014,North America,41
Office Supplies,Los Angeles,United States,GA-147254,Guy Armstrong,0.0,US,1,2014-11-12 00:00:00.000,CA-2014-110842,Medium,OFF-PA-10000520,Xerox 201,9.3312,3,West,34133,19,Consumer,2014-11-17 00:00:00.000,Standard Class,1.43,California,Paper,2014,North America,46
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,1,2014-11-13 00:00:00.000,US-2014-125808,High,OFF-PA-10001846,Xerox 1899,5.6644,2,West,40935,12,Consumer,2014-11-16 00:00:00.000,Second Class,1.71,California,Paper,2014,North America,46
Office Supplies,Los Angeles,United States,CC-125504,Clay Cheatham,0.0,US,1,2014-12-02 00:00:00.000,CA-2014-118542,Medium,OFF-PA-10004735,Xerox 1905,21.7728,7,West,34853,45,Consumer,2014-12-06 00:00:00.000,Standard Class,3.56,California,Paper,2014,North America,49
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,1,2014-12-19 00:00:00.000,CA-2014-102099,Medium,OFF-PA-10003172,Xerox 1996,6.2208,2,West,34184,13,Consumer,2014-12-20 00:00:00.000,First Class,0.94,California,Paper,2014,North America,51
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,0.0,US,1,2014-12-19 00:00:00.000,CA-2014-102099,Medium,OFF-PA-10000289,Xerox 213,15.552,5,West,34185,32,Consumer,2014-12-20 00:00:00.000,First Class,1.09,California,Paper,2014,North America,51
Office Supplies,Los Angeles,United States,SR-207404,Steven Roelle,0.0,US,1,2011-02-21 00:00:00.000,CA-2011-164903,High,OFF-PA-10003363,Xerox 204,6.2208,2,West,39800,13,Home Office,2011-02-25 00:00:00.000,Standard Class,1.14,California,Paper,2011,North America,9
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,US,1,2011-04-06 00:00:00.000,CA-2011-102652,Medium,OFF-PA-10001977,Xerox 194,26.6304,1,West,37315,55,Corporate,2011-04-12 00:00:00.000,Standard Class,2.28,California,Paper,2011,North America,15
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,0.0,US,1,2011-04-06 00:00:00.000,CA-2011-102652,Medium,OFF-PA-10003309,Xerox 211,9.3312,3,West,37314,19,Corporate,2011-04-12 00:00:00.000,Standard Class,2.11,California,Paper,2011,North America,15
Office Supplies,Los Angeles,United States,AH-100304,Aaron Hawkins,0.0,US,1,2011-05-13 00:00:00.000,CA-2011-113768,Medium,OFF-PA-10003063,EcoTones Memo Sheets,3.84,2,West,36652,8,Corporate,2011-05-19 00:00:00.000,Standard Class,0.15,California,Paper,2011,North America,20
Office Supplies,Los Angeles,United States,VF-217154,Vicky Freymann,0.0,US,1,2011-07-25 00:00:00.000,CA-2011-146528,High,OFF-PA-10002195,Xerox 1966,3.1752,1,West,34943,6,Home Office,2011-07-27 00:00:00.000,Second Class,0.79,California,Paper,2011,North America,31
Office Supplies,Los Angeles,United States,JM-152654,Janet Molinari,0.0,US,1,2011-08-25 00:00:00.000,CA-2011-104178,High,OFF-PA-10004983,Xerox 23,12.4416,4,West,37242,26,Corporate,2011-08-29 00:00:00.000,Standard Class,3.11,California,Paper,2011,North America,35
Office Supplies,Los Angeles,United States,GG-146504,Greg Guthrie,0.0,US,1,2011-10-31 00:00:00.000,CA-2011-106439,High,OFF-PA-10000477,Xerox 1952,30.4278,13,West,33359,65,Corporate,2011-11-04 00:00:00.000,Standard Class,6.72,California,Paper,2011,North America,45
Office Supplies,Los Angeles,United States,PL-189254,Paul Lucas,0.0,US,1,2011-11-01 00:00:00.000,CA-2011-168305,Medium,OFF-PA-10004947,Staples,9.63,5,West,37193,21,Home Office,2011-11-08 00:00:00.000,Standard Class,0.92,California,Paper,2011,North America,45
Office Supplies,Los Angeles,United States,MA-175604,Matt Abelman,0.0,US,1,2011-11-11 00:00:00.000,CA-2011-140732,High,OFF-PA-10003625,Xerox 1979,55.764,4,West,37260,124,Home Office,2011-11-13 00:00:00.000,Second Class,27.69,California,Paper,2011,North America,46
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,0.0,US,1,2012-03-19 00:00:00.000,CA-2012-163104,Medium,OFF-PA-10001947,Xerox 1974,5.8604,2,West,35831,12,Corporate,2012-03-26 00:00:00.000,Standard Class,1.2,California,Paper,2012,North America,12
Office Supplies,Los Angeles,United States,AM-103604,Alice McCarthy,0.0,US,1,2012-03-23 00:00:00.000,US-2012-107944,High,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",92.5056,11,West,40176,193,Corporate,2012-03-25 00:00:00.000,First Class,27.31,California,Paper,2012,North America,12
Office Supplies,Los Angeles,United States,BP-110954,Bart Pistole,0.0,US,1,2012-03-23 00:00:00.000,CA-2012-138219,Medium,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,4,West,39263,33,Corporate,2012-03-30 00:00:00.000,Standard Class,2.16,California,Paper,2012,North America,12
Office Supplies,Los Angeles,United States,DE-132554,Deanra Eno,0.0,US,1,2012-04-18 00:00:00.000,CA-2012-142601,Medium,OFF-PA-10000483,Xerox 19,27.882,2,West,36017,62,Home Office,2012-04-20 00:00:00.000,Second Class,8.38,California,Paper,2012,North America,16
Office Supplies,Los Angeles,United States,AJ-107804,Anthony Jacobs,0.0,US,1,2012-05-18 00:00:00.000,CA-2012-165554,Medium,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5.3214,2,West,40347,11,Corporate,2012-05-22 00:00:00.000,Standard Class,1.0,California,Paper,2012,North America,20
Office Supplies,Los Angeles,United States,CG-120404,Catherine Glotzbach,0.0,US,1,2012-06-01 00:00:00.000,CA-2012-161242,Medium,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,40861,12,Home Office,2012-06-08 00:00:00.000,Standard Class,0.82,California,Paper,2012,North America,22
Office Supplies,Los Angeles,United States,MO-178004,Meg O'Connel,0.0,US,1,2012-09-17 00:00:00.000,CA-2012-133025,Critical,OFF-PA-10004100,Xerox 216,15.552,5,West,32312,32,Home Office,2012-09-19 00:00:00.000,Second Class,7.02,California,Paper,2012,North America,38
Office Supplies,Los Angeles,United States,RW-195404,Rick Wilson,0.0,US,1,2012-09-19 00:00:00.000,CA-2012-132815,High,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,11.2504,2,West,37465,23,Corporate,2012-09-22 00:00:00.000,Second Class,3.62,California,Paper,2012,North America,38
Office Supplies,Los Angeles,United States,YC-218954,Yoseph Carroll,0.0,US,1,2012-11-12 00:00:00.000,CA-2012-153220,High,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,33985,16,Corporate,2012-11-14 00:00:00.000,First Class,3.41,California,Paper,2012,North America,46
Office Supplies,Los Angeles,United States,SN-207104,Steve Nguyen,0.0,US,1,2012-11-27 00:00:00.000,CA-2012-125234,Medium,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",53.4954,3,West,35635,114,Home Office,2012-12-01 00:00:00.000,Standard Class,9.19,California,Paper,2012,North America,48
Office Supplies,Los Angeles,United States,DB-129703,Darren Budd,0.0,US,1,2012-12-14 00:00:00.000,CA-2012-141593,High,OFF-PA-10004983,Xerox 23,3.1104,1,West,41250,6,Corporate,2012-12-16 00:00:00.000,Second Class,1.31,California,Paper,2012,North America,50
